Variables,Values,Site,Param_means,Param_vars,Param_sd
Silicate,1.36,W,1.36,NA,NA
Silicate,1.39,BP,1.39,0,0
Silicate,1.4,W,1.4,0,0
Silicate,1.44,W,1.44,NA,NA
Silicate,1.46,W,1.46,NA,NA
Silicate,1.51,BP,1.51,0,0
Silicate,1.51,W,1.51,NA,NA
Silicate,1.54,W,1.54,0,0
Silicate,1.55,W,1.55,0,0
Silicate,1.58,BP,1.58,NA,NA
Silicate,1.58,W,1.58,0,0
Silicate,1.59,W,1.59,NA,NA
Silicate,1.61,W,1.61,NA,NA
Silicate,1.63,W,1.63,0,0
Silicate,1.64,W,1.64,NA,NA
Silicate,1.65,W,1.65,0,0
Silicate,1.66,BP,1.66,NA,NA
Silicate,1.66,W,1.66,NA,NA
Silicate,1.68,W,1.68,NA,NA
Silicate,1.69,W,1.69,NA,NA
Silicate,1.71,W,1.71,NA,NA
Silicate,1.72,BP,1.72,NA,NA
Silicate,1.72,W,1.72,NA,NA
Silicate,1.75,BP,1.75,NA,NA
Silicate,1.75,W,1.75,NA,NA
Silicate,1.76,W,1.76,NA,NA
Silicate,1.77,BP,1.77,NA,NA
Silicate,1.78,BP,1.78,NA,NA
Silicate,1.78,W,1.78,0,0
Silicate,1.79,W,1.79,NA,NA
Silicate,1.81,W,1.81,NA,NA
Silicate,1.82,BP,1.82,NA,NA
Silicate,1.82,W,1.82,NA,NA
Silicate,1.85,BP,1.85,0,0
Silicate,1.86,BP,1.86,NA,NA
Silicate,1.86,W,1.86,NA,NA
Silicate,1.87,W,1.87,0,0
Silicate,1.88,BP,1.88,NA,NA
Silicate,1.88,W,1.88,NA,NA
Silicate,1.9,W,1.9,0,0
Silicate,1.91,BP,1.91,0,0
Silicate,1.91,W,1.91,NA,NA
Silicate,1.92,BP,1.92,NA,NA
Silicate,1.92,W,1.92,NA,NA
Silicate,1.93,BP,1.93,NA,NA
Silicate,1.93,W,1.93,NA,NA
Silicate,1.96,BP,1.96,NA,NA
Silicate,1.97,BP,1.97,NA,NA
Silicate,1.97,W,1.97,NA,NA
Silicate,1.98,BP,1.98,NA,NA
Silicate,1.99,BP,1.99,NA,NA
Silicate,2,W,2,NA,NA
Silicate,2.03,BP,2.03,NA,NA
Silicate,2.03,W,2.03,NA,NA
Silicate,2.04,BP,2.04,0,0
Silicate,2.04,W,2.04,0,0
Silicate,2.05,BP,2.05,NA,NA
Silicate,2.05,W,2.05,NA,NA
Silicate,2.06,BP,2.06,NA,NA
Silicate,2.07,BP,2.07,0,0
Silicate,2.07,W,2.07,0,0
Silicate,2.11,W,2.11,NA,NA
Silicate,2.12,W,2.12,NA,NA
Silicate,2.18,BP,2.18,NA,NA
Silicate,2.18,W,2.18,NA,NA
Silicate,2.19,BP,2.19,NA,NA
Silicate,2.2,BP,2.2,NA,NA
Silicate,2.2,W,2.2,0,0
Silicate,2.22,BP,2.22,0,0
Silicate,2.24,BP,2.24,NA,NA
Silicate,2.27,W,2.27,NA,NA
Silicate,2.31,BP,2.31,NA,NA
Silicate,2.33,BP,2.33,0,0
Silicate,2.34,W,2.34,0,0
Silicate,2.35,W,2.35,0,0
Silicate,2.36,BP,2.36,0,0
Silicate,2.38,W,2.38,NA,NA
Silicate,2.39,BP,2.39,NA,NA
Silicate,2.39,W,2.39,NA,NA
Silicate,2.4,W,2.4,NA,NA
Silicate,2.41,BP,2.41,NA,NA
Silicate,2.43,BP,2.43,0,0
Silicate,2.45,BP,2.45,NA,NA
Silicate,2.49,W,2.49,NA,NA
Silicate,2.51,W,2.51,NA,NA
